,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal_x,cardType_x,isGoal_y,cardType_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,shirtNo,name,position,isFirstEleven,pro,shortName
0,0,2748536595.0,2,0,0.0,338,0.0,0.0,0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,,,,,,,,,Spain,,,,,0.0,
1,1,2748536569.0,2,0,0.0,425,0.0,0.0,0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,,,,,,,,,Denmark,,,,,0.0,
2,2,2748536637.0,3,0,0.0,425,52.395,34.068000000000005,0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.39'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.5'}]","[91, 117, 30, 35, 38, 215, 218]",True,69344.0,29.085,28.220000000000002,,,,,,,,,,,,6.0,4.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Denmark,10.0,Christian Eriksen,FWR,True,-23.529676283104713,C. Eriksen
3,3,2748536681.0,4,0,5.0,425,31.290000000000003,28.492,0,FirstHalf,Pass,Successful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.63'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '48.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,231135.0,70.35000000000001,56.848,,,,,,,,,,,,3.0,3.0,8.0,6.0,0.01132376,0.02401521,0.012691449999999998,Denmark,2.0,Joachim Andersen,DC,True,0.0,J. Andersen
4,4,2748536689.0,5,0,8.0,425,70.455,56.984,0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]",[91],True,439584.0,,,,,,,,,,,,,,,,,,,,,Denmark,9.0,Rasmus Højlund,FW,True,0.0,R. Højlund
5,5,2748536707.0,6,0,9.0,425,76.125,61.064,0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}]","[91, 53]",True,424809.0,,,,,,,,,,,,,,,,,,,,,Denmark,7.0,Albert Grønbæk,FWL,True,0.0,A. Grønbæk
6,6,2748536691.0,3,0,9.0,338,28.875,6.936,0,FirstHalf,Tackle,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 142]",True,362352.0,,,,,,,,,,,,,,,,,,,,,Spain,2.0,Pedro Porro,DR,True,0.0,P. Porro
7,7,2748537131.0,13,0,10.0,425,80.325,59.364000000000004,0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.60'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '3.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.4'}]","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,439584.0,80.22000000000001,63.104,,,,,,,,,,,,9.0,7.0,9.0,7.0,0.02756312,0.02756312,0.0,Denmark,9.0,Rasmus Højlund,FW,True,-2.8379526630005643,R. Højlund
8,8,2748536723.0,7,0,12.0,425,77.80499999999999,63.648,0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.14'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '0.9'}]","[91, 120, 29, 35, 217, 218]",True,424809.0,76.86,63.648,,,,,,,,,,,,,,,,,,,Denmark,7.0,Albert Grønbæk,FWL,True,0.0,A. Grønbæk
9,9,2748536721.0,4,0,12.0,338,32.445,2.72,0,FirstHalf,BlockedPass,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 60]",True,298839.0,,,,,,,,,,,,,,,,,,,,,Spain,21.0,Mikel Oyarzabal,AMR,True,0.0,M. Oyarzabal
